"sess","tre","r","activo","i","ordenes_compra","ordenes_venta","bb","bo","precio","dete","dete_a","z","dt"
"fbyj5j85",2,2,1,43,0.9509900499,3.06844459036259,50,60,NA,0,10,-2.11745454046259,0
"fbyj5j85",2,2,1,44,1,3.0136781990955,50,50,50,-1,9,-2.0136781990955,0
"fbyj5j85",2,2,1,45,1,4.17756911945519,60,60,60,1,10,-3.17756911945519,0
"fbyj5j85",2,2,1,46,1,3.34132740904,65,65,65,1,11,-2.34132740904,0
"fbyj5j85",2,2,1,47,0,2.72228901260604,NA,80,NA,0,11,-2.72228901260604,0
"fbyj5j85",2,2,1,48,1.73970037338828,2.72228901260604,80,80,80,1,12,-0.98258863921776,0
"fbyj5j85",2,2,1,49,0.817906937597231,1.55760731098551,50,90,NA,0,12,-0.739700373388279,0
"fbyj5j85",2,2,1,50,0.817906937597231,1.55760731098551,50,90,NA,0,12,-0.739700373388279,0
"fbyj5j85",2,2,1,51,1.73970037338828,1.81790693759723,80,80,80,1,13,-0.07820656420895,0
"fbyj5j85",2,2,1,52,1.35317610937608,0.777821359399147,50,100,NA,0,13,0.575354749976933,0
"fbyj5j85",2,2,1,53,1.49624384070516,1.56350604964086,50,80,NA,0,13,-0.0672622089357,0
"fbyj5j85",2,2,1,54,2.28685701577904,2.81790693759723,80,80,80,1,14,-0.53104992181819,0
"fbyj5j85",2,2,1,55,2.32729507974357,2.54846452340589,60,80,NA,0,14,-0.22116944366232,0
"fbyj5j85",2,2,1,56,4.82488066265885,3.64407556143282,80,80,80,1,15,1.18080510122603,0
"fbyj5j85",2,2,1,57,4.12433496584562,2.45209799138119,65,80,NA,0,15,1.67223697446443,0
"fbyj5j85",2,2,1,58,4.12433496584562,2.45209799138119,65,80,NA,0,15,1.67223697446443,0
"fbyj5j85",2,2,1,59,3.32672260005389,2.45209799138119,65,80,NA,0,15,0.8746246086727,0
"fbyj5j85",2,2,1,60,4.2086644118528,2.45209799138119,65,80,NA,0,15,1.75656642047161,0
"fbyj5j85",2,2,1,61,4.2086644118528,2.45209799138119,65,80,NA,0,15,1.75656642047161,0
"fbyj5j85",2,2,1,62,4.2086644118528,2.45209799138119,65,80,NA,0,15,1.75656642047161,0
"fbyj5j85",2,2,1,63,4.2086644118528,2.45209799138119,65,80,NA,0,15,1.75656642047161,0
"fbyj5j85",2,2,1,64,4.08518028927057,2.64407556143282,80,80,80,1,16,1.44110472783775,0
"fbyj5j85",2,2,1,65,3.02378520151408,1.67745695483401,65,99,NA,0,16,1.34632824668007,0
"fbyj5j85",2,2,1,66,3.02378520151408,1.67745695483401,65,99,NA,0,16,1.34632824668007,0
"fbyj5j85",2,2,1,67,3.32672260005389,1.68591473527499,65,80,NA,0,16,1.6408078647789,0
"fbyj5j85",2,2,1,68,3.32672260005389,1.68591473527499,65,80,NA,0,16,1.6408078647789,0
"fbyj5j85",2,2,1,69,3.32672260005389,2.30631466990868,65,80,NA,0,16,1.02040793014521,0
"fbyj5j85",2,2,1,70,3.32672260005389,2.30631466990868,65,80,NA,0,16,1.02040793014521,0
"fbyj5j85",2,2,1,71,3.41136824194634,3.20007856543462,65,75,NA,0,16,0.21128967651172,0
"fbyj5j85",2,2,1,72,3.41136824194634,3.20007856543462,65,75,NA,0,16,0.21128967651172,0
"fbyj5j85",2,2,1,73,3.93170876459665,3.20007856543462,65,75,NA,0,16,0.73163019916203,0
"fbyj5j85",2,2,1,74,4.73901591423603,3.36499689536302,75,75,75,1,17,1.37401901887301,0
"fbyj5j85",2,3,1,1,1.49986405983653,4.54606355878742,50,65,NA,0,0,-3.04619949895089,1
"fbyj5j85",2,3,1,2,1.53802683183748,5.38425298420899,50,60,NA,0,0,-3.84622615237151,0
"fbyj5j85",2,3,1,3,3.19246457673705,5.38425298420899,50,60,NA,0,0,-2.19178840747194,0
"fbyj5j85",2,3,1,4,4.03600204713515,5.66173429971761,60,60,60,1,1,-1.62573225258246,0
"fbyj5j85",2,3,1,5,2.73970037338828,6.16697898901833,50,50,50,-1,0,-3.42727861563005,0
"fbyj5j85",2,3,1,6,2.65443774489957,5.43326293430899,55,55,55,1,1,-2.77882518940942,0
"fbyj5j85",2,3,1,7,2.49624384070516,4.9019800998,65,65,65,1,2,-2.40573625909484,0
"fbyj5j85",2,3,1,8,3.49624384070516,3.9019800998,65,65,65,2,4,-0.40573625909484,0
"fbyj5j85",2,3,1,9,2.42291300473477,2,70,70,70,1,5,0.42291300473477,0
"fbyj5j85",2,3,1,10,2.42506881468917,1.98997487421324,70,69,70,1,6,0.43509394047593,0
"fbyj5j85",2,3,1,11,1.58128009952943,1.64493076357086,50,69,NA,0,6,-0.06365066404143,0
"fbyj5j85",2,3,1,12,2.43728586336845,1.80972786822126,69,69,69,1,7,0.62755799514719,0
"fbyj5j85",2,3,1,13,1.57335383357848,1.64408244839708,50,70,NA,0,7,-0.0707286148185999,0
"fbyj5j85",2,3,1,14,2.47773590858729,2.54846452340589,70,50,60,0,7,-0.0707286148185999,0
"fbyj5j85",2,3,1,15,0.817906937597231,3.43659120383026,20,60,NA,0,7,-2.61868426623303,0
"fbyj5j85",2,3,1,16,2.53816558586387,4.31768117323958,70,60,65,2,9,-1.77951558737571,0
"fbyj5j85",2,3,1,17,0.73970037338828,2.07764389052764,20,80,NA,0,9,-1.33794351713936,0
"fbyj5j85",2,3,1,18,0.73970037338828,2.07764389052764,20,80,NA,0,9,-1.33794351713936,0
"fbyj5j85",2,3,1,19,0.73970037338828,2.07764389052764,20,80,NA,0,9,-1.33794351713936,0
"fbyj5j85",2,3,1,20,0.73970037338828,2.07764389052764,20,80,NA,0,9,-1.33794351713936,0
"fbyj5j85",2,3,1,21,1.49624384070516,2.41570107343958,50,80,NA,0,9,-0.91945723273442,0
"fbyj5j85",2,3,1,22,1.49624384070516,2.41570107343958,50,80,NA,0,9,-0.91945723273442,0
"fbyj5j85",2,3,1,23,1.49624384070516,3.27575942808087,50,80,NA,0,9,-1.77951558737571,0
"fbyj5j85",2,3,1,24,1.6965335135356,6.08951747047863,50,55,NA,0,9,-4.39298395694303,0
"fbyj5j85",2,3,1,25,3.38910112275303,6.58244821020366,70,55,62.5,2,11,-3.19334708745063,0
"fbyj5j85",2,3,1,26,1.50378164075737,4.82365226685433,50,79,NA,0,11,-3.31987062609696,0
"fbyj5j85",2,3,1,27,1.5113574148537,6.51967699035478,50,78,NA,0,11,-5.00831957550108,0
"fbyj5j85",2,3,1,28,1.5113574148537,5.6682192192599,50,78,NA,0,11,-4.1568618044062,0
